0	0	0	0
1	0	0	255
2	0	255	0
3	255	0	0
4	0	255	255
5	255	255	0
6	255	0	255
7	255	128	0
8	128	255	128
9	0	0	255
10	0	255	0
11	255	0	0
12	0	255	255
13	255	255	0
14	255	0	255
15	255	128	0
16	128	255	128
17	0	0	255
18	0	255	0
19	255	0	0
20	0	255	255
21	255	255	0
22	255	0	255
23	255	128	0
24	128	255	128
25	0	0	255
26	0	255	0
27	255	0	0
28	0	255	255
29	255	255	0
30	255	0	255
31	255	128	0
32	128	255	128
33	0	0	255
34	0	255	0
35	255	0	0
36	0	255	255
37	255	255	0
38	255	0	255
39	255	128	0
40	128	255	128
41	0	0	255
42	0	255	0
43	255	0	0
44	0	255	255
45	255	255	0
46	255	0	255
47	255	128	0
48	128	255	128
49	0	0	255
50	0	255	0
51	255	0	0
52	0	255	255
53	255	255	0
54	255	0	255
55	255	128	0
56	128	255	128
57	0	0	255
58	0	255	0
59	255	0	0
60	0	255	255
61	255	255	0
62	255	0	255
63	255	128	0
64	128	255	128
65	0	0	255
66	0	255	0
67	255	0	0
68	0	255	255
69	255	255	0
70	255	0	255
71	255	128	0
72	128	255	128
73	0	0	255
74	0	255	0
75	255	0	0
76	0	255	255
77	255	255	0
78	255	0	255
79	255	128	0
80	128	255	128
81	0	0	255
82	0	255	0
83	255	0	0
84	0	255	255
85	255	255	0
86	255	0	255
87	255	128	0
88	128	255	128
89	0	0	255
90	0	255	0
91	255	0	0
92	0	255	255
93	255	255	0
94	255	0	255
95	255	128	0
96	128	255	128
97	0	0	255
98	0	255	0
99	255	0	0
100	0	255	255
101	255	255	0
102	255	0	255
103	255	128	0
104	128	255	128
105	0	0	255
106	0	255	0
107	255	0	0
108	0	255	255
109	255	255	0
110	255	0	255
111	255	128	0
112	128	255	128
113	0	0	255
114	0	255	0
115	255	0	0
116	0	255	255
117	255	255	0
118	255	0	255
119	255	128	0
120	128	255	128
121	0	0	255
122	0	255	0
123	255	0	0
124	0	255	255
125	255	255	0
126	255	0	255
127	255	128	0
128	128	255	128
129	0	0	255
130	0	255	0
131	255	0	0
132	0	255	255
133	255	255	0
134	255	0	255
135	255	128	0
136	128	255	128
137	0	0	255
138	0	255	0
139	255	0	0
140	0	255	255
141	255	255	0
142	255	0	255
143	255	128	0
144	128	255	128
145	0	0	255
146	0	255	0
147	255	0	0
148	0	255	255
149	255	255	0
150	255	0	255
151	255	128	0
152	128	255	128
153	0	0	255
154	0	255	0
155	255	0	0
156	0	255	255
157	255	255	0
158	255	0	255
159	255	128	0
160	128	255	128
161	0	0	255
162	0	255	0
163	255	0	0
164	0	255	255
165	255	255	0
166	255	0	255
167	255	128	0
168	128	255	128
169	0	0	255
170	0	255	0
171	255	0	0
172	0	255	255
173	255	255	0
174	255	0	255
175	255	128	0
176	128	255	128
177	0	0	255
178	0	255	0
179	255	0	0
180	0	255	255
181	255	255	0
182	255	0	255
183	255	128	0
184	128	255	128
185	0	0	255
186	0	255	0
187	255	0	0
188	0	255	255
189	255	255	0
190	255	0	255
191	255	128	0
192	128	255	128
193	0	0	255
194	0	255	0
195	255	0	0
196	0	255	255
197	255	255	0
198	255	0	255
199	255	128	0
200	128	255	128
201	0	0	255
202	0	255	0
203	255	0	0
204	0	255	255
205	255	255	0
206	255	0	255
207	255	128	0
208	128	255	128
209	0	0	255
210	0	255	0
211	255	0	0
212	0	255	255
213	255	255	0
214	255	0	255
215	255	128	0
216	128	255	128
217	0	0	255
218	0	255	0
219	255	0	0
220	0	255	255
221	255	255	0
222	255	0	255
223	255	128	0
224	128	255	128
225	0	0	255
226	0	255	0
227	255	0	0
228	0	255	255
229	255	255	0
230	255	0	255
231	255	128	0
232	128	255	128
233	0	0	255
234	0	255	0
235	255	0	0
236	0	255	255
237	255	255	0
238	255	0	255
239	255	128	0
240	128	255	128
241	0	0	255
242	0	255	0
243	255	0	0
244	0	255	255
245	255	255	0
246	255	0	255
247	255	128	0
248	128	255	128
249	0	0	255
250	0	255	0
251	255	0	0
252	0	255	255
253	255	255	0
254	255	0	255
255	255	128	0
